Component 1,CAS-RN 1,Component 2,CAS-RN 2,Liquid Fraction 1 (mol/mol),Temperature (°C),Liquid Fraction 2 (mol/mol),Pressure EXP (bar),SMILES 1,SMILES 2
co2,124-38-9,acetone,67-64-1,0.523,25,0.477,29.8,C(=O)=O,CC(=O)C
co2,124-38-9,acetone,67-64-1,0.604,25,0.396,35.0,C(=O)=O,CC(=O)C
co2,124-38-9,acetone,67-64-1,0.682,25,0.31799999999999995,39.6,C(=O)=O,CC(=O)C
co2,124-38-9,acetone,67-64-1,0.765,25,0.235,44.6,C(=O)=O,CC(=O)C
co2,124-38-9,acetone,67-64-1,0.856,25,0.14400000000000002,50.2,C(=O)=O,CC(=O)C
co2,124-38-9,acetone,67-64-1,0.8959999999999999,25,0.10400000000000009,54.7,C(=O)=O,CC(=O)C
co2,124-38-9,acetone,67-64-1,0.41,30,0.5900000000000001,23.2,C(=O)=O,CC(=O)C
co2,124-38-9,acetone,67-64-1,0.5,30,0.5,29.3,C(=O)=O,CC(=O)C
co2,124-38-9,acetone,67-64-1,0.6,30,0.4,35.2,C(=O)=O,CC(=O)C
co2,124-38-9,acetone,67-64-1,0.7,30,0.30000000000000004,40.9,C(=O)=O,CC(=O)C
co2,124-38-9,acetone,67-64-1,0.8,30,0.19999999999999996,48.4,C(=O)=O,CC(=O)C
co2,124-38-9,acetone,67-64-1,0.9,30,0.09999999999999998,57.5,C(=O)=O,CC(=O)C
co2,124-38-9,acetone,67-64-1,0.41,40,0.5900000000000001,27.0,C(=O)=O,CC(=O)C
co2,124-38-9,acetone,67-64-1,0.5,40,0.5,35.2,C(=O)=O,CC(=O)C
co2,124-38-9,acetone,67-64-1,0.6,40,0.4,43.7,C(=O)=O,CC(=O)C
co2,124-38-9,acetone,67-64-1,0.7,40,0.30000000000000004,52.0,C(=O)=O,CC(=O)C
co2,124-38-9,acetone,67-64-1,0.8,40,0.19999999999999996,58.5,C(=O)=O,CC(=O)C
co2,124-38-9,acetone,67-64-1,0.9,40,0.09999999999999998,68.6,C(=O)=O,CC(=O)C
co2,124-38-9,2-butanone,78-93-3,0.094,25,0.906,4.8,C(=O)=O,CCC(=O)C
co2,124-38-9,2-butanone,78-93-3,0.124,25,0.876,6.37,C(=O)=O,CCC(=O)C
co2,124-38-9,2-butanone,78-93-3,0.192,25,0.808,10.37,C(=O)=O,CCC(=O)C
co2,124-38-9,2-butanone,78-93-3,0.231,25,0.769,12.76,C(=O)=O,CCC(=O)C
co2,124-38-9,2-butanone,78-93-3,0.313,25,0.687,17.99,C(=O)=O,CCC(=O)C
co2,124-38-9,2-butanone,78-93-3,0.375,25,0.625,22.37,C(=O)=O,CCC(=O)C
co2,124-38-9,2-butanone,78-93-3,0.414,25,0.5860000000000001,25.59,C(=O)=O,CCC(=O)C
co2,124-38-9,2-butanone,78-93-3,0.442,25,0.558,27.97,C(=O)=O,CCC(=O)C
co2,124-38-9,2-butanone,78-93-3,0.511,25,0.489,33.19,C(=O)=O,CCC(=O)C
co2,124-38-9,2-butanone,78-93-3,0.606,25,0.394,39.45,C(=O)=O,CCC(=O)C
co2,124-38-9,2-butanone,78-93-3,0.43761705999999995,40,0.56238294,23.5,C(=O)=O,CCC(=O)C
co2,124-38-9,2-butanone,78-93-3,0.57077214,40,0.42922786,33.9,C(=O)=O,CCC(=O)C
co2,124-38-9,2-butanone,78-93-3,0.6029376200000001,40,0.39706237999999994,36.3,C(=O)=O,CCC(=O)C
co2,124-38-9,2-butanone,78-93-3,0.6678482200000001,40,0.3321517799999999,43.2,C(=O)=O,CCC(=O)C
co2,124-38-9,2-butanone,78-93-3,0.7386310500000001,40,0.26136894999999993,49.0,C(=O)=O,CCC(=O)C
co2,124-38-9,2-butanone,78-93-3,0.81354505,40,0.18645495,58.1,C(=O)=O,CCC(=O)C
co2,124-38-9,2-butanone,78-93-3,0.43761705999999995,60,0.56238294,31.4,C(=O)=O,CCC(=O)C
co2,124-38-9,2-butanone,78-93-3,0.57077214,60,0.42922786,43.2,C(=O)=O,CCC(=O)C
co2,124-38-9,2-butanone,78-93-3,0.6678482200000001,60,0.3321517799999999,57.6,C(=O)=O,CCC(=O)C
co2,124-38-9,2-butanone,78-93-3,0.7386310500000001,60,0.26136894999999993,66.2,C(=O)=O,CCC(=O)C
co2,124-38-9,2-butanone,78-93-3,0.81354505,60,0.18645495,79.3,C(=O)=O,CCC(=O)C
co2,124-38-9,acetonitrile,75-05-8,0.098,35,0.902,11.0,C(=O)=O,CC#N
co2,124-38-9,acetonitrile,75-05-8,0.184,35,0.8160000000000001,17.4,C(=O)=O,CC#N
co2,124-38-9,acetonitrile,75-05-8,0.308,35,0.692,28.5,C(=O)=O,CC#N
co2,124-38-9,acetonitrile,75-05-8,0.396,35,0.604,35.9,C(=O)=O,CC#N
co2,124-38-9,acetonitrile,75-05-8,0.52,35,0.48,45.6,C(=O)=O,CC#N
co2,124-38-9,acetonitrile,75-05-8,0.725,35,0.275,59.3,C(=O)=O,CC#N
co2,124-38-9,acetonitrile,75-05-8,0.7859999999999999,35,0.21400000000000008,63.4,C(=O)=O,CC#N
co2,124-38-9,acetonitrile,75-05-8,0.852,35,0.14800000000000002,67.7,C(=O)=O,CC#N
co2,124-38-9,acetonitrile,75-05-8,0.895,35,0.10499999999999998,69.8,C(=O)=O,CC#N
co2,124-38-9,acetonitrile,75-05-8,0.9470000000000001,35,0.052999999999999936,70.5,C(=O)=O,CC#N
co2,124-38-9,acetonitrile,75-05-8,0.975,35,0.025000000000000022,72.0,C(=O)=O,CC#N
co2,124-38-9,acetonitrile,75-05-8,0.114,55,0.886,17.7,C(=O)=O,CC#N
co2,124-38-9,acetonitrile,75-05-8,0.184,55,0.8160000000000001,23.9,C(=O)=O,CC#N
